X,Y,Value
4203255.0,4386235.0,660.7
4203285.0,4386235.0,651.0
4203315.0,4386235.0,640.8
4203345.0,4386235.0,630.3
4203375.0,4386235.0,620.2
4203405.0,4386235.0,611.1
4203435.0,4386235.0,602.8
4203465.0,4386235.0,593.2
4203495.0,4386235.0,581.1
4203525.0,4386235.0,568.9
4203555.0,4386235.0,559.9
4203585.0,4386235.0,553.4
4203615.0,4386235.0,547.0
4203645.0,4386235.0,540.4
4203675.0,4386235.0,533.7
4203705.0,4386235.0,526.9
4203735.0,4386235.0,519.6
4203765.0,4386235.0,511.1
4203795.0,4386235.0,502.9
4203825.0,4386235.0,496.3
4203855.0,4386235.0,490.9
4203885.0,4386235.0,486.5
4203915.0,4386235.0,482.8
4203945.0,4386235.0,479.5
4203975.0,4386235.0,476.6
4204005.0,4386235.0,474.0
4204035.0,4386235.0,470.7
4204065.0,4386235.0,466.1
4204095.0,4386235.0,460.3
4204125.0,4386235.0,454.0
4204155.0,4386235.0,447.7
4204185.0,4386235.0,441.7
4204215.0,4386235.0,436.6
4204245.0,4386235.0,431.2
4204275.0,4386235.0,424.9
4204305.0,4386235.0,417.4
4204335.0,4386235.0,410.6
4204365.0,4386235.0,404.9
4204395.0,4386235.0,399.0
4204425.0,4386235.0,393.5
4204455.0,4386235.0,388.4
4204485.0,4386235.0,383.1
4204515.0,4386235.0,377.8
4204545.0,4386235.0,373.1
4204575.0,4386235.0,369.2
4204605.0,4386235.0,365.8
4204635.0,4386235.0,363.6
4204665.0,4386235.0,361.9
4204695.0,4386235.0,359.9
4204725.0,4386235.0,361.1
4204755.0,4386235.0,367.1
4204785.0,4386235.0,372.4
4204815.0,4386235.0,374.4
4204845.0,4386235.0,375.2
4204875.0,4386235.0,376.0
4204905.0,4386235.0,377.6
4204935.0,4386235.0,380.2
4204965.0,4386235.0,383.2
4204995.0,4386235.0,386.5
4205025.0,4386235.0,390.6
4205055.0,4386235.0,395.4
4205085.0,4386235.0,402.2
4205115.0,4386235.0,411.9
4205145.0,4386235.0,422.7
4205175.0,4386235.0,432.1
4205205.0,4386235.0,439.4
4205235.0,4386235.0,446.1
4205265.0,4386235.0,453.0
4205295.0,4386235.0,460.7
4205325.0,4386235.0,471.2
4205355.0,4386235.0,486.1
4205385.0,4386235.0,503.3
4205415.0,4386235.0,517.8
4205445.0,4386235.0,528.1
4205475.0,4386235.0,535.2
4205505.0,4386235.0,540.1
4205535.0,4386235.0,542.9
4205565.0,4386235.0,545.1
4205595.0,4386235.0,546.1
4205625.0,4386235.0,544.6
4205655.0,4386235.0,542.9
4205685.0,4386235.0,542.7
4205715.0,4386235.0,543.7
4205745.0,4386235.0,544.9
4205775.0,4386235.0,547.5
4205805.0,4386235.0,551.6
4205835.0,4386235.0,553.1
4205865.0,4386235.0,552.0
4205895.0,4386235.0,550.1
4205925.0,4386235.0,546.2
4205955.0,4386235.0,539.1
4205985.0,4386235.0,530.7
4206015.0,4386235.0,523.5
4206045.0,4386235.0,517.8
4206075.0,4386235.0,514.1
4206105.0,4386235.0,511.2
4206135.0,4386235.0,507.5
4206165.0,4386235.0,501.7
4206195.0,4386235.0,494.4
4206225.0,4386235.0,485.9
4206255.0,4386235.0,475.1
4206285.0,4386235.0,463.5
4206315.0,4386235.0,452.0
4206345.0,4386235.0,440.9
4206375.0,4386235.0,431.6
4206405.0,4386235.0,424.8
4206435.0,4386235.0,419.7
4206465.0,4386235.0,416.4
4206495.0,4386235.0,416.5
4206525.0,4386235.0,419.6
4206555.0,4386235.0,424.8
4206585.0,4386235.0,431.4
4206615.0,4386235.0,440.8
4206645.0,4386235.0,453.1
4206675.0,4386235.0,466.2
4206705.0,4386235.0,477.3
4206735.0,4386235.0,484.8
4206765.0,4386235.0,489.3
4206795.0,4386235.0,491.0
4206825.0,4386235.0,490.2
4206855.0,4386235.0,487.5
4206885.0,4386235.0,483.5
4206915.0,4386235.0,478.5
4206945.0,4386235.0,472.6
4206975.0,4386235.0,466.0
4207005.0,4386235.0,459.6
4207035.0,4386235.0,454.0
4207065.0,4386235.0,450.5
4207095.0,4386235.0,448.1
4207125.0,4386235.0,444.9
4207155.0,4386235.0,440.1
4207185.0,4386235.0,433.3
4207215.0,4386235.0,423.9
4207245.0,4386235.0,412.7
4207275.0,4386235.0,401.4
4207305.0,4386235.0,390.5
4207335.0,4386235.0,379.0
4207365.0,4386235.0,367.0
4207395.0,4386235.0,356.2
4207425.0,4386235.0,347.0
4207455.0,4386235.0,339.6
4207485.0,4386235.0,333.2
4207515.0,4386235.0,326.4
4207545.0,4386235.0,319.4
4207575.0,4386235.0,312.8
4207605.0,4386235.0,306.4
4207635.0,4386235.0,299.4
4207665.0,4386235.0,291.8
4207695.0,4386235.0,284.0
4207725.0,4386235.0,276.3
4207755.0,4386235.0,268.6
4207785.0,4386235.0,260.8
4207815.0,4386235.0,252.3
4207845.0,4386235.0,243.8
4207875.0,4386235.0,236.7
4207905.0,4386235.0,230.3
4207935.0,4386235.0,223.5
4207965.0,4386235.0,217.4
4207995.0,4386235.0,212.5
4208025.0,4386235.0,208.3
4208055.0,4386235.0,203.7
4208085.0,4386235.0,198.9
4208115.0,4386235.0,193.8
4208145.0,4386235.0,189.1
4208175.0,4386235.0,184.9
4208205.0,4386235.0,180.9
4208235.0,4386235.0,176.5
4208265.0,4386235.0,171.6
4208295.0,4386235.0,166.5
4208325.0,4386235.0,161.5
4208355.0,4386235.0,156.6
4208385.0,4386235.0,151.5
4208415.0,4386235.0,146.6
4208445.0,4386235.0,142.4
4208475.0,4386235.0,138.6
4208505.0,4386235.0,135.4
4208535.0,4386235.0,132.8
4208565.0,4386235.0,130.1
4208595.0,4386235.0,126.4
4208625.0,4386235.0,121.9
4208655.0,4386235.0,117.5
4208685.0,4386235.0,113.3
4208715.0,4386235.0,109.5
4208745.0,4386235.0,106.3
4208775.0,4386235.0,103.3
4208805.0,4386235.0,99.8
4208835.0,4386235.0,95.8
4208865.0,4386235.0,92.2
4208895.0,4386235.0,88.8
4208925.0,4386235.0,85.2
4208955.0,4386235.0,81.5
4208985.0,4386235.0,76.9
4209015.0,4386235.0,71.3
4209045.0,4386235.0,65.3
4209075.0,4386235.0,59.8
4209105.0,4386235.0,55.6
4209135.0,4386235.0,53.0
4209165.0,4386235.0,51.8
4209195.0,4386235.0,50.1
4209225.0,4386235.0,47.6
4209255.0,4386235.0,46.3
4209285.0,4386235.0,47.0
4209315.0,4386235.0,49.5
4209345.0,4386235.0,51.9
4209375.0,4386235.0,53.5
4209405.0,4386235.0,55.0
4198035.0,4386205.0,0.0
4198065.0,4386205.0,0.0
4198095.0,4386205.0,0.0
4198125.0,4386205.0,0.0
4198155.0,4386205.0,0.0
4198185.0,4386205.0,0.0
4198215.0,4386205.0,0.0
4198245.0,4386205.0,0.0
4198275.0,4386205.0,0.0
4198305.0,4386205.0,0.0
4198335.0,4386205.0,0.0
4198365.0,4386205.0,0.0
4198395.0,4386205.0,0.0
4198425.0,4386205.0,0.0
4198455.0,4386205.0,0.0
4198485.0,4386205.0,0.0
4198515.0,4386205.0,0.0
4198545.0,4386205.0,0.0
4198575.0,4386205.0,0.0
4198605.0,4386205.0,0.0
4198635.0,4386205.0,0.0
4198665.0,4386205.0,0.0
4198695.0,4386205.0,0.0
4198725.0,4386205.0,0.0
4198755.0,4386205.0,0.0
4198785.0,4386205.0,0.0
4198815.0,4386205.0,0.0
4198845.0,4386205.0,0.0
4198875.0,4386205.0,0.0
4198905.0,4386205.0,0.0
4198935.0,4386205.0,0.0
4198965.0,4386205.0,0.0
4198995.0,4386205.0,0.0
4199025.0,4386205.0,0.0
4199055.0,4386205.0,0.0
4199085.0,4386205.0,0.0
4199115.0,4386205.0,0.0
4199145.0,4386205.0,0.0
4199175.0,4386205.0,0.0
4199205.0,4386205.0,0.0
4199235.0,4386205.0,0.0
4199265.0,4386205.0,0.0
4199295.0,4386205.0,0.0
4199325.0,4386205.0,0.0
4199355.0,4386205.0,0.0
4199385.0,4386205.0,0.0
4199415.0,4386205.0,0.0
4199445.0,4386205.0,0.0
4199475.0,4386205.0,0.0
4199505.0,4386205.0,0.0
4199535.0,4386205.0,0.0
4199565.0,4386205.0,0.0
4199595.0,4386205.0,0.0
4199625.0,4386205.0,0.0
4199655.0,4386205.0,0.0
4199685.0,4386205.0,0.0
4199715.0,4386205.0,0.0
4199745.0,4386205.0,0.0
4199775.0,4386205.0,0.0
4199805.0,4386205.0,0.0
4199835.0,4386205.0,0.0
4199865.0,4386205.0,0.0
4199895.0,4386205.0,0.0
4199925.0,4386205.0,0.0
4199955.0,4386205.0,0.0
4199985.0,4386205.0,0.0
4200015.0,4386205.0,0.0
4200045.0,4386205.0,0.0
4200075.0,4386205.0,0.0
4200105.0,4386205.0,0.0
4200135.0,4386205.0,0.0
4200165.0,4386205.0,0.0
4200195.0,4386205.0,0.0
4200225.0,4386205.0,0.0
4200255.0,4386205.0,0.0
4200285.0,4386205.0,0.0
4200315.0,4386205.0,0.0
4200345.0,4386205.0,0.0
4200375.0,4386205.0,0.0
4200405.0,4386205.0,0.0
4200435.0,4386205.0,0.0
4200465.0,4386205.0,0.0
4200495.0,4386205.0,0.0
4200525.0,4386205.0,-0.1
4200555.0,4386205.0,-0.3
4200585.0,4386205.0,-0.4
