X,Y,Value
7.010416666666659,62.66875,-182
7.014583333333325,62.66875,-185
7.018749999999993,62.66875,-187
7.022916666666659,62.66875,-191
7.027083333333326,62.66875,-199
7.031249999999992,62.66875,-213
7.035416666666659,62.66875,-231
7.039583333333326,62.66875,-257
7.043749999999992,62.66875,-280
7.0479166666666595,62.66875,-299
7.052083333333326,62.66875,-315
7.056249999999992,62.66875,-327
7.060416666666659,62.66875,-340
7.064583333333326,62.66875,-354
7.0687499999999925,62.66875,-373
7.072916666666659,62.66875,-393
7.077083333333325,62.66875,-413
7.081249999999993,62.66875,-433
7.085416666666659,62.66875,-450
7.089583333333326,62.66875,-462
7.093749999999992,62.66875,-469
7.097916666666659,62.66875,-471
7.102083333333326,62.66875,-471
7.106249999999992,62.66875,-470
7.1104166666666595,62.66875,-468
7.114583333333326,62.66875,-466
7.118749999999992,62.66875,-464
7.122916666666659,62.66875,-463
7.127083333333326,62.66875,-462
7.1312499999999925,62.66875,-459
7.135416666666659,62.66875,-456
7.139583333333325,62.66875,-452
7.143749999999993,62.66875,-449
7.147916666666659,62.66875,-446
7.152083333333326,62.66875,-441
7.156249999999992,62.66875,-433
7.160416666666659,62.66875,-418
7.164583333333326,62.66875,-397
7.168749999999992,62.66875,-368
7.1729166666666595,62.66875,-336
7.177083333333326,62.66875,-309
7.181249999999992,62.66875,-286
7.185416666666659,62.66875,-258
7.189583333333326,62.66875,-232
7.1937499999999925,62.66875,-208
7.197916666666659,62.66875,-189
7.202083333333325,62.66875,-171
7.206249999999993,62.66875,-154
7.210416666666659,62.66875,-137
7.214583333333326,62.66875,-114
7.218749999999992,62.66875,-87
7.222916666666659,62.66875,-55
7.227083333333326,62.66875,-31
7.231249999999992,62.66875,-12
7.2354166666666595,62.66875,21
7.239583333333326,62.66875,63
7.243749999999992,62.66875,110
7.247916666666659,62.66875,150
7.252083333333326,62.66875,179
7.2562499999999925,62.66875,206
7.260416666666659,62.66875,227
7.264583333333325,62.66875,231
7.268749999999993,62.66875,224
7.272916666666659,62.66875,232
7.277083333333326,62.66875,253
7.281249999999992,62.66875,265
7.285416666666659,62.66875,263
7.289583333333326,62.66875,241
7.293749999999992,62.66875,206
7.297916666666659,62.66875,167
7.302083333333326,62.66875,130
7.306249999999992,62.66875,100
7.310416666666659,62.66875,73
7.314583333333326,62.66875,39
7.3187499999999925,62.66875,11
7.322916666666659,62.66875,-4
7.327083333333325,62.66875,-9
7.331249999999993,62.66875,-6
7.335416666666659,62.66875,-2
7.339583333333326,62.66875,-2
7.343749999999992,62.66875,-4
7.347916666666659,62.66875,-6
7.352083333333326,62.66875,-9
7.356249999999992,62.66875,-11
7.360416666666659,62.66875,-10
7.364583333333326,62.66875,-12
7.368749999999992,62.66875,-23
7.372916666666659,62.66875,-42
7.377083333333326,62.66875,-63
7.3812499999999925,62.66875,-82
7.385416666666659,62.66875,-91
7.389583333333325,62.66875,-92
7.393749999999993,62.66875,-88
7.397916666666659,62.66875,-76
7.402083333333326,62.66875,-55
7.406249999999992,62.66875,-32
7.410416666666659,62.66875,-14
7.414583333333326,62.66875,0
7.418749999999992,62.66875,12
7.422916666666659,62.66875,10
7.427083333333326,62.66875,-5
7.431249999999992,62.66875,-21
7.435416666666659,62.66875,-47
7.439583333333326,62.66875,-66
7.4437499999999925,62.66875,-78
7.447916666666659,62.66875,-95
7.452083333333325,62.66875,-116
7.456249999999993,62.66875,-136
7.460416666666659,62.66875,-154
7.464583333333326,62.66875,-165
7.468749999999992,62.66875,-172
7.472916666666659,62.66875,-178
7.477083333333326,62.66875,-179
7.481249999999992,62.66875,-178
7.485416666666659,62.66875,-176
7.489583333333326,62.66875,-167
7.493749999999992,62.66875,-144
7.497916666666659,62.66875,-109
7.502083333333326,62.66875,-72
7.5062499999999925,62.66875,-52
7.510416666666659,62.66875,-42
7.514583333333325,62.66875,-34
7.518749999999993,62.66875,-26
7.522916666666659,62.66875,-16
7.527083333333326,62.66875,-4
7.531249999999993,62.66875,6
7.535416666666659,62.66875,24
7.539583333333326,62.66875,76
7.543749999999992,62.66875,124
7.547916666666659,62.66875,155
7.552083333333326,62.66875,181
7.556249999999992,62.66875,186
7.560416666666659,62.66875,178
7.564583333333326,62.66875,200
7.5687499999999925,62.66875,230
7.572916666666659,62.66875,237
7.577083333333325,62.66875,248
7.581249999999993,62.66875,258
7.585416666666659,62.66875,266
7.589583333333326,62.66875,298
7.593749999999993,62.66875,326
7.597916666666659,62.66875,346
7.602083333333326,62.66875,358
7.606249999999992,62.66875,358
7.610416666666659,62.66875,357
7.614583333333326,62.66875,354
7.618749999999992,62.66875,351
7.622916666666659,62.66875,360
7.627083333333326,62.66875,379
7.6312499999999925,62.66875,394
7.635416666666659,62.66875,412
7.639583333333325,62.66875,449
7.643749999999993,62.66875,511
7.647916666666659,62.66875,580
7.652083333333326,62.66875,670
7.656249999999993,62.66875,760
7.660416666666659,62.66875,776
7.664583333333326,62.66875,720
7.668749999999992,62.66875,652
7.672916666666659,62.66875,604
7.677083333333326,62.66875,570
7.681249999999992,62.66875,535
7.685416666666659,62.66875,488
7.689583333333326,62.66875,440
7.6937499999999925,62.66875,402
7.697916666666659,62.66875,371
7.702083333333325,62.66875,344
7.706249999999993,62.66875,319
7.710416666666659,62.66875,287
7.714583333333326,62.66875,249
7.718749999999993,62.66875,238
7.722916666666659,62.66875,248
7.727083333333326,62.66875,250
7.731249999999992,62.66875,246
7.735416666666659,62.66875,233
7.739583333333326,62.66875,217
7.743749999999992,62.66875,207
7.747916666666659,62.66875,211
7.752083333333326,62.66875,221
7.7562499999999925,62.66875,234
7.760416666666659,62.66875,254
7.764583333333325,62.66875,277
7.768749999999993,62.66875,306
7.772916666666659,62.66875,345
7.777083333333326,62.66875,380
7.781249999999993,62.66875,400
7.785416666666659,62.66875,418
7.789583333333326,62.66875,444
7.793749999999992,62.66875,466
7.797916666666659,62.66875,491
7.802083333333326,62.66875,535
7.806249999999992,62.66875,587
7.810416666666659,62.66875,632
7.814583333333326,62.66875,692
7.8187499999999925,62.66875,782
7.822916666666659,62.66875,845
7.827083333333325,62.66875,841
7.831249999999993,62.66875,792
7.835416666666659,62.66875,734
7.839583333333326,62.66875,687
7.843749999999993,62.66875,652
7.847916666666659,62.66875,630
7.852083333333326,62.66875,612
7.856249999999992,62.66875,591
7.860416666666659,62.66875,569
7.864583333333326,62.66875,542
7.868749999999992,62.66875,506
7.872916666666659,62.66875,468
7.877083333333326,62.66875,439
7.8812499999999925,62.66875,428
7.885416666666659,62.66875,436
7.889583333333325,62.66875,473
7.893749999999993,62.66875,516
7.897916666666659,62.66875,548
7.902083333333326,62.66875,580
7.906249999999993,62.66875,599
7.910416666666659,62.66875,602
7.914583333333326,62.66875,642
7.918749999999992,62.66875,708
7.922916666666659,62.66875,754
7.927083333333326,62.66875,790
7.931249999999992,62.66875,844
7.935416666666659,62.66875,921
7.939583333333326,62.66875,985
7.9437499999999925,62.66875,989
7.947916666666659,62.66875,943
7.952083333333325,62.66875,857
7.956249999999993,62.66875,758
7.960416666666659,62.66875,687
7.964583333333326,62.66875,641
7.968749999999993,62.66875,589
7.972916666666659,62.66875,518
7.977083333333326,62.66875,442
7.981249999999992,62.66875,398
7.985416666666659,62.66875,399
7.989583333333326,62.66875,402
7.993749999999992,62.66875,398
7.997916666666659,62.66875,362
8.002083333333326,62.66875,296
8.006249999999993,62.66875,241
8.010416666666659,62.66875,229
8.014583333333325,62.66875,248
8.018749999999992,62.66875,267
8.02291666666666,62.66875,305
8.027083333333326,62.66875,384
8.031249999999993,62.66875,494
8.03541666666666,62.66875,612
8.039583333333326,62.66875,671
8.043749999999992,62.66875,636
8.047916666666659,62.66875,561
8.052083333333325,62.66875,523
8.056249999999991,62.66875,536
8.06041666666666,62.66875,551
8.064583333333326,62.66875,542
8.068749999999993,62.66875,497
8.072916666666659,62.66875,429
8.077083333333325,62.66875,372
8.081249999999992,62.66875,342
8.08541666666666,62.66875,324
8.089583333333326,62.66875,292
8.093749999999993,62.66875,224
8.09791666666666,62.66875,123
8.102083333333326,62.66875,48
8.106249999999992,62.66875,23
8.110416666666659,62.66875,20
8.114583333333325,62.66875,19
8.118749999999991,62.66875,19
8.12291666666666,62.66875,19
8.127083333333326,62.66875,24
8.131249999999993,62.66875,32
8.135416666666659,62.66875,41
8.139583333333325,62.66875,62
8.143749999999992,62.66875,150
8.14791666666666,62.66875,280
8.152083333333326,62.66875,373
8.156249999999993,62.66875,443
8.16041666666666,62.66875,451
8.164583333333326,62.66875,424
8.168749999999992,62.66875,407
8.172916666666659,62.66875,403
8.177083333333325,62.66875,438
8.181249999999991,62.66875,524
8.18541666666666,62.66875,636
8.189583333333326,62.66875,755
8.193749999999993,62.66875,859
8.197916666666659,62.66875,934
8.202083333333325,62.66875,994
8.206249999999992,62.66875,1050
8.21041666666666,62.66875,1105
8.214583333333326,62.66875,1140
8.218749999999993,62.66875,1130
8.22291666666666,62.66875,1086
8.227083333333326,62.66875,1016
8.231249999999992,62.66875,914
8.235416666666659,62.66875,795
8.239583333333325,62.66875,725
7.010416666666659,62.66458333333333,-167
7.014583333333325,62.66458333333333,-168
7.018749999999993,62.66458333333333,-167
7.022916666666659,62.66458333333333,-166
7.027083333333326,62.66458333333333,-167
7.031249999999992,62.66458333333333,-170
7.035416666666659,62.66458333333333,-172
7.039583333333326,62.66458333333333,-177
7.043749999999992,62.66458333333333,-184
7.0479166666666595,62.66458333333333,-196
7.052083333333326,62.66458333333333,-212
7.056249999999992,62.66458333333333,-223
7.060416666666659,62.66458333333333,-230
7.064583333333326,62.66458333333333,-237
7.0687499999999925,62.66458333333333,-247
7.072916666666659,62.66458333333333,-264
7.077083333333325,62.66458333333333,-285
7.081249999999993,62.66458333333333,-310
7.085416666666659,62.66458333333333,-338
7.089583333333326,62.66458333333333,-375
7.093749999999992,62.66458333333333,-417
7.097916666666659,62.66458333333333,-450
7.102083333333326,62.66458333333333,-464
7.106249999999992,62.66458333333333,-468
7.1104166666666595,62.66458333333333,-469
7.114583333333326,62.66458333333333,-469
7.118749999999992,62.66458333333333,-468
7.122916666666659,62.66458333333333,-468
7.127083333333326,62.66458333333333,-468
7.1312499999999925,62.66458333333333,-468
7.135416666666659,62.66458333333333,-467
7.139583333333325,62.66458333333333,-466
7.143749999999993,62.66458333333333,-466
7.147916666666659,62.66458333333333,-465
7.152083333333326,62.66458333333333,-463
7.156249999999992,62.66458333333333,-461
7.160416666666659,62.66458333333333,-458
7.164583333333326,62.66458333333333,-454
7.168749999999992,62.66458333333333,-446
7.1729166666666595,62.66458333333333,-433
7.177083333333326,62.66458333333333,-415
7.181249999999992,62.66458333333333,-388
7.185416666666659,62.66458333333333,-351
7.189583333333326,62.66458333333333,-309
7.1937499999999925,62.66458333333333,-274
7.197916666666659,62.66458333333333,-247
7.202083333333325,62.66458333333333,-216
7.206249999999993,62.66458333333333,-186
7.210416666666659,62.66458333333333,-160
7.214583333333326,62.66458333333333,-120
7.218749999999992,62.66458333333333,-65
7.222916666666659,62.66458333333333,-28
7.227083333333326,62.66458333333333,-5
7.231249999999992,62.66458333333333,30
7.2354166666666595,62.66458333333333,80
7.239583333333326,62.66458333333333,132
7.243749999999992,62.66458333333333,173
7.247916666666659,62.66458333333333,195
7.252083333333326,62.66458333333333,210
7.2562499999999925,62.66458333333333,229
7.260416666666659,62.66458333333333,249
7.264583333333325,62.66458333333333,260
7.268749999999993,62.66458333333333,252
7.272916666666659,62.66458333333333,244
7.277083333333326,62.66458333333333,251
7.281249999999992,62.66458333333333,261
7.285416666666659,62.66458333333333,261
7.289583333333326,62.66458333333333,252
7.293749999999992,62.66458333333333,232
7.297916666666659,62.66458333333333,206
7.302083333333326,62.66458333333333,190
7.306249999999992,62.66458333333333,188
7.310416666666659,62.66458333333333,188
7.314583333333326,62.66458333333333,183
7.3187499999999925,62.66458333333333,165
